source	target
ABCD3	PRKN
ABCD3	PTPN1
ABCD3	RAB2A
ABCD3	RAB7A
ABCD3	SCN3B
ABCD3	SLC39A4
ABCD3	SUB1
ABCD3	USP11
ABCD4	ATG9A
ABCD4	AVPR1B
ABCD4	CD79A
ABCD4	CD83
ABCD4	FAM234B
ABCD4	FCGRT
ABCD4	FSHR
ABCD4	GRIN2A
ABCD4	KCNA2
ABCD4	KCNMB3
ABCD4	LMBRD1
ABCD4	MARCHF4
ABCD4	MS4A15
ABCD4	NKAIN1
ABCD4	OR10H2
ABCD4	PCDHA3
ABCD4	PCDHGC4
ABCD4	PTCHD3
ABCD4	PUS1
ABCD4	RNF149
ABCD4	RXFP1
ABCD4	SCAP
ABCD4	SLC17A2
ABCD4	TLR9
ABCD4	TTMP
ABCD4	TTYH1
ABCD4	ZDHHC12
ABCE1	ATG16L1
ABCE1	ATXN10
ABCE1	BRD4
ABCE1	CCNF
ABCE1	CIAO1
ABCE1	CUL3
ABCE1	DCP2
ABCE1	EIF3H
ABCE1	EIF3J
ABCE1	GSPT1
ABCE1	HAX1
ABCE1	HSPA8
ABCE1	IGF2R
ABCE1	LTK
ABCE1	LTO1
ABCE1	MAP1B
ABCE1	MMS19
ABCE1	PRKN
ABCE1	RPL4
ABCE1	SRP9
ABCE1	STAU1
ABCE1	UBASH3A
ABCE1	YAE1
ABCF1	BRD4
ABCF1	CCNF
ABCF1	EED
ABCF1	H2BC9
ABCF1	HSPA1B
ABCF1	IFI16
ABCF1	MYC
ABCF1	OBSL1
ABCF1	PRKN
ABCF1	TRIM28
ABCF2	AHCYL1
ABCF2	AHCYL2
ABCF2	ALPI
ABCF2	ANLN
ABCF2	CCNF
ABCF2	CDK9
ABCF2	GNL1
ABCF2	H1-2
ABCF2	HSPA5
ABCF2	ISG15
ABCF2	MYC
ABCF2	NUDCD1
ABCF2	PRKN
ABCF2	PTGES2
ABCF2	SIRT6
ABCF2	SLC2A12
ABCF2	SNRPD2
ABCF2	SNW1
ABCF2	THTPA
ABCF3	AKAP9
ABCF3	ARL4D
ABCF3	ASB6
ABCF3	ATP6V1B2
ABCF3	BTLA
ABCF3	CCDC33
ABCF3	CCT8L2
ABCF3	CIAO2A
ABCF3	CIB2
ABCF3	CLASRP
ABCF3	CNOT3
ABCF3	D2HGDH
ABCF3	DCTN3
ABCF3	DHFR
ABCF3	DNAI2
ABCF3	EEF1AKMT3
ABCF3	ELSPBP1
ABCF3	FCHSD2
ABCF3	FYCO1
ABCF3	GSTM3
ABCF3	HDAC6
ABCF3	HNRNPCL2
ABCF3	HSPB8
ABCF3	KCTD14
ABCF3	KLK15
ABCF3	LGI1
ABCF3	MAP1A
ABCF3	MDFI
