Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	IL-17 signaling pathway	3/94	0.1028032117588933	0.1485717649392225	0	0	2.7477183833116037	6.250890841994686	MAPK1;MAP3K7;MAPK3
KEGG_2021_Human	TGF-beta signaling pathway	3/94	0.1028032117588933	0.1485717649392225	0	0	2.7477183833116037	6.250890841994686	EP300;MAPK1;MAPK3
KEGG_2021_Human	Prion disease	6/273	0.1099851711132305	0.1578698714618479	0	0	1.8801176640787	4.150190025868961	PPP3CB;BAD;PRKCD;MAPK1;ITPR3;MAPK3
KEGG_2021_Human	Pancreatic secretion	3/102	0.1231533356185404	0.1755767149696758	0	0	2.524653312788906	5.287444723416737	PRKCB;ITPR3;ATP2B1
KEGG_2021_Human	Hippo signaling pathway	4/163	0.1317079542488503	0.1857939611099339	0	0	2.098434363709354	4.253879569974813	LATS1;APC;NF2;LIMD1
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	2/53	0.132081015007062	0.1857939611099339	0	0	3.261355174981385	6.602091065071428	PRKCB;ATP2B1
KEGG_2021_Human	Non-homologous end-joining	1/13	0.1447251783776339	0.2022318717727203	0	0	6.9149159663865545	13.365970079487044	PRKDC
KEGG_2021_Human	Thermogenesis	5/232	0.1457931567476914	0.2023839215379137	0	0	1.838736398207764	3.5406090202190708	RPTOR;RPS6KA3;PRKAA1;RPS6KA1;SMARCA4
KEGG_2021_Human	Viral myocarditis	2/60	0.1609756060818123	0.2219990384526954	0	0	2.8667248654153936	5.236079962914746	EIF4G3;EIF4G1
KEGG_2021_Human	Cytosolic DNA-sensing pathway	2/63	0.173688082594738	0.2364399059838046	0	0	2.7253233727606005	4.770662804058933	TREX1;ADAR
KEGG_2021_Human	Lysine degradation	2/63	0.173688082594738	0.2364399059838046	0	0	2.7253233727606005	4.770662804058933	KMT2A;EZH2
KEGG_2021_Human	Nitrogen metabolism	1/17	0.1849088761446193	0.2501011081186839	0	0	5.185136554621849	8.751951217911714	GLUD1
KEGG_2021_Human	Glycolysis / Gluconeogenesis	2/67	0.1908748886930651	0.2565261242945015	0	0	2.557091853294385	4.234894682727665	PFKL;GAPDH
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	0.1995520218555256	0.2648143183114207	0	0	2.480508848164242	3.9977872829204073	PRKAA1;PRKCQ
KEGG_2021_Human	Renin secretion	2/69	0.1995520218555256	0.2648143183114207	0	0	2.480508848164242	3.9977872829204073	PPP3CB;ITPR3
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	2/70	0.2039082484406238	0.2689040026310728	0	0	2.4439066765946884	3.8860197116466417	PLCG1;GIT1
KEGG_2021_Human	Thyroid hormone synthesis	2/75	0.2258309667558302	0.295964807363231	0	0	2.2759378070631757	3.3865237518081033	PRKCB;ITPR3
KEGG_2021_Human	Gastric acid secretion	2/76	0.2302379989764939	0.2980381459143572	0	0	2.2450678526627894	3.297200328174105	PRKCB;ITPR3
KEGG_2021_Human	Pertussis	2/76	0.2302379989764939	0.2980381459143572	0	0	2.2450678526627894	3.297200328174105	MAPK1;MAPK3
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	0.2325044957480438	0.298487091295348	0	0	3.9495798319327737	5.7618276240987045	HMGCR
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	2/77	0.2346506701946018	0.298487091295348	0	0	2.2150210970464137	3.211021681518114	ITGB7;EMD
KEGG_2021_Human	Ubiquitin mediated proteolysis	3/140	0.2348287068958662	0.298487091295348	0	0	1.820858592106891	2.638240079342768	CUL4A;CBLB;ANAPC2
KEGG_2021_Human	Mismatch repair	1/23	0.2416861535305365	0.3053639424846899	0	0	3.7698624904507256	5.35363932900647	LIG1
KEGG_2021_Human	Cell adhesion molecules	3/148	0.2603652750378028	0.3270063871010499	0	0	1.7196960841613091	2.314142965133881	SPN;PECAM1;ITGB7
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	3/150	0.2668083000324756	0.331156184157955	0	0	1.6961259079903148	2.2409637083007783	MAPK1;ATP2B1;MAPK3
KEGG_2021_Human	Spliceosome	3/150	0.2668083000324756	0.331156184157955	0	0	1.6961259079903148	2.2409637083007783	SNW1;SF3A2;HNRNPA1
KEGG_2021_Human	Insulin secretion	2/86	0.274498544961631	0.3387087309175681	0	0	1.9767932489451476	2.555616733444426	PRKCB;ITPR3
KEGG_2021_Human	GABAergic synapse	2/89	0.2877824297430736	0.3530354225336542	0	0	1.9083369707551288	2.3769301379854837	PRKCB;GLS
KEGG_2021_Human	Ribosome	3/158	0.2927467519969268	0.3570495067708183	0	0	1.6079278294149808	1.9752547153928923	RPS14;RPS9;RPL29
KEGG_2021_Human	Pentose phosphate pathway	1/30	0.3029665219521898	0.3673904375397244	0	0	2.858881483627934	3.4138846317300957	PFKL
KEGG_2021_Human	JAK-STAT signaling pathway	3/162	0.3057851388044117	0.368689510215605	0	0	1.5671570195075153	1.8568813879114576	EP300;PTPN6;RAF1
KEGG_2021_Human	Circadian rhythm	1/31	0.3113085720112596	0.3711079587252869	0	0	2.7634453781512605	3.224859692673836	PRKAA1
KEGG_2021_Human	Galactose metabolism	1/31	0.3113085720112596	0.3711079587252869	0	0	2.7634453781512605	3.224859692673836	PFKL
KEGG_2021_Human	Dilated cardiomyopathy	2/96	0.3186487024821755	0.377724023728871	0	0	1.7655983481461532	2.0192548519011915	ITGB7;EMD
KEGG_2021_Human	Nicotinate and nicotinamide metabolism	1/35	0.3436942581609683	0.402013606350909	0	0	2.4378398418190805	2.6036197800069822	SIRT1
KEGG_2021_Human	Amoebiasis	2/102	0.3448552736943817	0.402013606350909	0	0	1.65915611814346	1.7663881188757449	PRKCB;RAB5A
KEGG_2021_Human	Chagas disease	2/102	0.3448552736943817	0.402013606350909	0	0	1.65915611814346	1.7663881188757449	MAPK1;MAPK3
KEGG_2021_Human	African trypanosomiasis	1/37	0.3593137751237664	0.4165670689621688	0	0	2.3021708683473388	2.3564082800502475	PRKCB
